date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier
1946-01-01,1095.0249999999992,1444.198616180507,1197.38923890143,890,1138.24026358313
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361904,992,1250.6692805200823
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396953,979,1282.0046880942175
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908927,959,1425.215084314777
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003086,1110,1564.7241622380197
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546,1531.9319146678745
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464288,1539,2199.8856639478417
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883133,3401,2989.310342888406
1946-09-01,2284.709210526315,2563.16412667662,2398.9184835464766,2092,2535.8518322346963
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101453,1436,1845.1812415880079
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583487,1301,1778.8667492289194
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016132,1287,1539.9901752271899
1947-01-01,1220.817543859648,1464.4041988594968,1362.5325221780936,1488,1302.4547672028684
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775227,1517,1412.4301273552321
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795789,1707,1441.3439891327455
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632092,1729,1582.1649505446496
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389405,1788,1719.316704647204
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412036,2008,1684.1992442443368
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203,2349.859891679549
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713,3137.023579763325
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891905,2946,2681.3361892407934
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088585,2082,1988.4688297132493
1947-11-01,1761.9228070175432,1926.933125937961,1892.249464606396,2033,1919.9896794612723
1947-12-01,1523.3964912280694,1680.5491727802937,1651.1630316531505,1937,1678.9805585546208
1948-01-01,1346.610087719297,1496.3962330191175,1500.1185014670027,1711,1439.3447146133442
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376864,1775,1547.2517498367192
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448786,1902,1574.1293976732109
1948-04-01,1573.715350877192,1702.875218855802,1720.3580983675274,1846,1712.9462561320597
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161591,2083,1848.1260182695255
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896037,2262,1811.0686768895364
1948-07-01,2181.2942982456134,2289.827876740585,2319.036357644003,2193,2474.821554335593
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223216,3792,3260.10958341818
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968324,2343,2802.5786448824274
1948-10-01,2067.241666666666,2155.148951222553,2194.048016138538,2313,2107.899848329628
1948-11-01,1887.715350877192,1968.747202998108,2010.4242366325425,2179,2037.6413720403623
1948-12-01,1649.1890350877184,1723.3454541304927,1767.574343589372,1975,1794.885036084389
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471816,1880,1553.534088081757
1949-02-01,1454.7710526315782,1516.6499199367477,1593.405778195705,1930,1659.7581302317435
1949-03-01,1591.4552631578938,1647.4409085529314,1726.1348790146185,2060,1684.9848959828132
1949-04-01,1699.507894736841,1749.6003173662118,1830.0385892828715,1843,1822.1829833442066
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109888,2052,1955.776085372184
1949-06-01,1916.8763157894728,1955.1822897114127,2038.527732904235,2039,1917.1641948706729
1949-07-01,2307.0868421052623,2339.499588121153,2424.007903099451,2351,2579.3946341831743
1949-08-01,3411.8763157894728,3438.395827846536,3523.873209059796,3394,3363.192336120173
1949-09-01,2662.0868421052623,2682.7131321167444,2768.9657560484266,3581,2904.2031814267975
1949-10-01,2193.034210526315,2207.7672754732785,2294.601333539029,2489,2208.0982797043434
1949-11-01,2013.5078947368413,2022.3477315388857,2109.569415215811,2468,2136.445809233389
1949-12-01,1774.9815789473676,1777.9281869613233,1865.343685289302,2134,1892.3275900836938
1950-01-01,1598.1951754385957,1595.7396557802526,1711.2244619976548,1903,1649.6468698753067
1950-02-01,1580.5635964912271,1573.1970613476833,1688.5203519306024,1719,1754.5732508075043
1950-03-01,1717.247807017543,1704.9702542539198,1819.9705216678235,1617,1778.534466328752
1950-04-01,1825.3004385964905,1808.1118673572528,1922.6276027882648,1818,1914.4991144482904
1950-05-01,1888.1951754385957,1866.0955849837767,1979.965279502454,2067,2046.890888222379
1950-06-01,2042.668859649122,2015.6582482825595,2128.7203939156534,2457,2007.1097804549456
1950-07-01,2432.8793859649118,2400.957750982352,2513.050840764705,2600,2668.2031134894924
1950-08-01,3537.668859649122,3500.836194997788,3611.798725312768,3530,3450.895820136502
1950-09-01,2787.8793859649118,2746.1357035580486,2855.806152822998,2693,2990.8337811411047
1950-10-01,2318.8267543859643,2272.172051204635,2380.3889127690813,2448,2293.688106104595
1950-11-01,2139.3004385964905,2087.734711560295,2194.3364788352283,2250,2221.026973307552
1950-12-01,1900.7741228070167,1844.297371272785,1949.1225352319643,1972,1975.932202819735
1951-01-01,1723.9877192982449,1663.091044381767,1794.0474001974453,1682,1732.3070422611922
1951-02-01,1706.3561403508763,1641.5306542392505,1770.4196803214036,1730,1836.3210938312018
1951-03-01,1843.040350877192,1774.286051435539,1900.9785421835163,1814,1859.4020909782273
1951-04-01,1951.0929824561397,1878.409868828925,2002.7766173627328,1900,1994.5186317115106
1951-05-01,2013.9877192982449,1937.3757907455015,2059.287590069578,2051,2126.0944090873104
1951-06-01,2168.461403508771,2087.9206583343366,2207.248302409316,2290,2085.529415909555
1951-07-01,2558.6719298245607,2474.202365324182,2590.8166491187885,2599,2745.8709745217466
1951-08-01,3663.461403508771,3575.0630136296704,3688.8347354611537,3428,3527.8440177343673
1951-09-01,2913.6719298245607,2821.344726479984,2932.1446666995694,2262,3067.0944262925486
1951-10-01,2444.619298245613,2348.363278416623,2456.06223230772,2242,2369.2933097975833
1951-11-01,2265.0929824561395,2164.9081430623355,2269.376905969816,2103,2296.008846530052
1951-12-01,2026.5666666666657,1922.4530070648784,2023.562371896384,1825,2050.3228565597124
1952-01-01,1849.7802631578936,1742.228884463913,1867.9189483255775,1670,1806.1385875066144
1952-02-01,1832.1486842105253,1721.650698611449,1843.755241847132,1681,1909.6256415700354
